IPO_Name,Issue_Size(crores),QIB,HNI,RII,Total,Offer Price,List Price,Listing Gain,CMP(BSE),CMP(NSE),Current Gains,Listing_Year,Listing_Month
One Mobikwik Systems Limited,-0.31797630154250967,1.1417292672577906,0.25267592971541714,3.5900788054117814,1.5257082103357722,-0.25596637986372023,0.02850982863959762,1.2691247305075573,-0.3659719830343654,-0.3732913841406442,-0.3890044714586807,2024,12
Sai Life Sciences Limited,0.6178350422730545,-0.25996589331637926,-0.509623076530426,-0.44033650725775736,-0.5069804329352804,0.5748219024273079,0.5515754615243822,0.06867386660300345,0.17516313888928012,0.16379337332546678,-0.0863441940583237,2024,12
Suraksha Diagnostic Limited,-0.21409700766428538,-0.7219223315817063,-0.5353432487107866,-0.4530354902384116,-0.674446258659316,0.24250658951089668,0.015898602129172275,-0.5937843928460229,-0.3103478450714301,-0.3164606980618178,-0.44719947127992676,2024,12
Enviro Infra Engineers Limited,-0.2883181476294196,1.7359897762287748,0.5813225742422466,0.25840991341585895,0.976554423645609,-0.6590525464567746,-0.5101697037342849,0.9176738507903974,-0.3521901095658703,-0.35918306696722924,-0.06378350824293011,2024,11
NTPC Green Energy Limited,3.25312299721373,-0.6969174952521682,-0.5397398593399081,-0.3777486625673902,-0.6530240451351067,-0.7821322919813714,-0.7657572276789054,-0.4608538192509509,-0.47088804682606267,-0.477621727275739,-0.33744269891990947,2024,11
Zinka Logistics Solution Limited (BlackBuck),-0.11240703855767872,-0.7057799688879539,-0.5439166394375735,-0.4315681618663533,-0.6634557317208086,-0.27442834169240976,-0.36351915545591024,-0.4956540401685287,-0.11202130554882136,-0.11944930889432474,0.05141096787772058,2024,11
Niva Bupa Health Insurance Company Limited,0.298670883266056,-0.7168580609326859,-0.540692458309551,-0.3992159909394485,-0.6645734124264197,-0.8867500756772787,-0.8452680081541584,-0.37463705571641126,-0.4900667860611997,-0.49684679328317416,-0.2882334081499227,2024,11
Swiggy Limited,3.755910142861696,-0.6541877116510587,-0.5426709330926558,-0.4472907122233537,-0.6312292713756938,0.08557991396703579,-0.04415485744428175,-0.3884317378819376,-0.22600112396394334,-0.23490733881408482,-0.31241383551103685,2024,11
ACME Solar Holdings Limited,0.5638140216972575,-0.6934358091809667,-0.538567429838809,-0.3880287916469674,-0.6468768012542467,-0.22519644348257103,-0.41168203003382037,-0.8906835749086014,-0.327895936214499,-0.3328541651999408,-0.3386382224417508,2024,11
Sagility India Limited,0.263217457898684,-0.6937523260965304,-0.5315328528322146,-0.35597897745769724,-0.6384941959621648,-1.0221377957543352,-0.9592254530407448,-0.45458350917571166,-0.5196171093540092,-0.5264212703626565,-0.13239113228666546,2024,11
